trial,t,x,y
10,0.6446033389984223,-69,-69
10,0.6517187989993545,-69,-70
10,0.6588973170000827,-70,-70
10,0.6658850489984616,-71,-70
10,0.6724071530006768,-71,-71
10,0.6796672540003783,-72,-71
10,0.6867281849990832,-73,-71
10,0.7077406469979906,-73,-71
10,0.7146687630011002,-73,-71
10,0.721772148997843,-74,-71
10,0.7287662079979782,-74,-71
10,0.7357913449995976,-74,-71
10,0.7427626629978477,-74,-71
10,0.7498496529988188,-75,-71
10,0.7568032780000067,-75,-71
10,0.7642013859986037,-75,-71
10,0.7709800519987766,-76,-71
10,0.7778088159975596,-76,-71
10,0.7848495869984617,-76,-71
10,0.791897422997863,-77,-72
10,0.7988882989993726,-78,-72
10,0.8059370959999796,-78,-72
10,0.8128866749975714,-78,-72
10,0.819998922997911,-79,-73
10,0.8272526689979713,-80,-73
10,0.8339510400001018,-81,-73
10,0.8411566840004525,-81,-74
10,0.8481420009993599,-82,-74
10,0.8551471489990945,-83,-74
10,0.8621790549987054,-83,-75
10,0.8693762080001761,-83,-75
10,0.8761712739978975,-84,-75
10,0.8831243229979009,-84,-76
10,0.8896673669987649,-84,-76
10,0.8971544979976898,-85,-77
10,0.9042018379986985,-85,-77
10,0.9113501309984713,-85,-77
10,0.9183997660002206,-86,-78
10,0.9256187430000864,-86,-78
10,0.9397379820002243,-86,-78
10,0.9466938080004184,-86,-78
10,0.9536568869989424,-86,-79
10,0.9604208769997058,-86,-79
10,0.9678604979999363,-86,-79
10,0.9748366300009366,-86,-80
10,0.9818145539975376,-86,-80
10,0.988427200998558,-86,-80
10,0.9954953859996749,-86,-80
10,1.0025198580005963,-86,-81
10,1.0098263990003034,-86,-81
10,1.016826717001095,-86,-81
10,1.0233163029988646,-86,-82
10,1.0375937889984925,-86,-82
10,1.0516917790009757,-86,-82
10,1.2974430869981006,-86,-82
11,0.0,2,-2
11,0.5035215300013078,-3,0
11,0.5103558340015297,-8,0
11,0.5170102699994459,-16,0
11,0.5243989270020393,-24,1
11,0.5314907650026726,-33,2
11,0.538036951002141,-41,2
11,0.5454514100019878,-48,2
11,0.5519479670001601,-54,3
11,0.5594615410009283,-58,3
11,0.5660723090004467,-62,3
11,0.5733083070008433,-65,3
11,0.5804507339998963,-68,3
11,0.5874539329997788,-70,3
11,0.5942930960009107,-72,3
11,0.6013233440025942,-73,3
11,0.6084975770027086,-74,3
11,0.6154647399998794,-75,3
11,0.6225681870018889,-76,3
11,0.6296630310025648,-77,3
11,0.6362352889991598,-78,3
11,0.6433750140022312,-79,3
11,0.6504172850000032,-79,3
11,0.6575137079998967,-80,3
11,0.664491227002145,-81,3
11,0.6714544290007325,-81,3
11,0.6785816869996779,-82,3
11,0.6854966920000152,-83,3
11,0.6925696580001386,-85,3
11,0.699627904999943,-86,3
11,0.7066016210010275,-87,3
11,0.7135900780012889,-89,3
11,0.7206891660025576,-90,3
11,0.7275973899995734,-91,3
11,0.7349493309993704,-93,3
11,0.7417399639998621,-94,3
11,0.748591187002603,-95,3
11,0.7557595770012995,-97,3
11,0.762751534999552,-98,3
11,0.7698610260013083,-100,3
11,0.7767742649994034,-101,3
11,0.7838587270016433,-102,3
11,0.790836357002263,-103,3
11,0.7977934760019707,-103,3
11,0.8047362870020152,-104,3
11,0.8116954770011944,-105,3
11,0.8188985220003815,-105,3
11,0.8259892419991957,-106,3
11,0.8332133740004792,-107,3
11,0.840244357001211,-108,3
11,0.8466806520009413,-109,3
11,0.8537492850009585,-110,3
11,0.8609754270000849,-111,3
11,0.8682549450022634,-112,3
11,0.8754640270017262,-113,3
11,0.8822288930023205,-114,3
11,0.889439365000726,-115,3
11,0.8961402360000648,-116,3
11,0.9035087379998004,-117,3
11,0.9101908640004694,-118,3
11,0.9171721780003281,-120,3
11,0.9242003300023498,-121,3
11,0.9318778720007685,-122,3
11,0.9385066370014101,-123,3
11,0.9455436579992238,-124,3
11,0.9522540729994944,-124,3
11,0.9592994520025968,-125,3
11,0.9661218959990947,-126,3
11,0.9733566590002738,-127,3
11,0.9804169369999727,-127,3
11,0.9874251550027111,-128,3
11,0.9942921670008218,-129,3
11,1.001413460002368,-129,3
11,1.0084897330016247,-129,3
11,1.0154190239991294,-129,3
11,1.0224128180016123,-130,3
11,1.0296815690016956,-130,3
11,1.0364698609992047,-130,3
11,1.0435486000023957,-131,3
11,1.0504371000024548,-131,3
11,1.057542235001165,-131,3
11,1.0645564740007103,-131,3
11,1.0716640790014935,-132,3
11,1.0856119420022878,-133,3
11,1.0926399170020886,-133,3
11,1.0994199630004005,-134,3
11,1.1136790710006608,-135,3
11,1.1207499060001282,-136,3
11,1.1276613720001478,-136,3
11,1.1350577440025518,-136,3
11,1.141672114001267,-137,3
11,1.1485187120015325,-137,3
11,1.3667748980005854,-137,3
12,0.0,4,-4
12,0.4901346309998189,8,-2
12,0.4970030639997276,16,-2
12,0.5037522740021814,24,-3
12,0.5107184950029477,33,-3
